species_common_name,species_code,scientific_name
Archer's Ground Robin,arrcha1,Dessonornis archeri
Arctic Fox,ARFX,Vulpes lagopus
Arctic Ground Squirrel,UROPAR,Urocitellus parryii
Arctic Hare,LEPARC,Lepus arcticus
Arctic Lemming,DICTOR,Dicrostonyx torquatus
Arctic Loon,ARLO,Gavia arctica
Arctic Shrew,SORARC,Sorex arcticus
Arctic Tern,ARTE,Sterna paradisaea
Arctic Warbler,ARWA,Phylloscopus borealis
Arctic Wolf,98,Canis lupus arctos
Arctocephalus Species,ARCNUL,
Argali,OVIAMM,Ovis ammon
Argentine black and white tegu,SALMER,Salvator merianae
Arizona Black-tailed Prairie Dog,CYNLUD,Cynomys ludovicianus
Arizona Coral Snake,MICEUR,Micruroides euryxanthus
Arizona Cotton Rat,SIGARI,Sigmodon arizonae
Arizona Gray Squirrel,SCIARI,Sciurus arizonensis
Arizona Myotis,MYOOCC,Myotis occultus
Arizona Pocket Mouse,PERAMP,Perognathus amplus
Arizona Shrew,SORARI,Sorex arizonae
Arizona Species,ARINUL,
Arizona Toad,ARITOA,Anaxyrus microscaphus
Arizona Treefrog,ARITRE,Dryophytes wrightorum
Arizona Woodpecker,ARWO,Picoides arizonae
Arizona Woodrat,NEODEV,Neotoma devia
Armadillo Family,3028,
Armored Rat,HOPGYM,Hoplomys gymnurus
Arnot's Chat,whbcha2,Myrmecocichla arnotti
Arnoux's Beaked Whale,BERARN,Berardius arnuxii
Arrowhead Warbler,ARRW,Setophaga pharetra
Arrow-marked Babbler,armbab1,Turdoides jardineii
Artiodactyla Order,4791,
Ash-breasted Antbird,asbant1,Myrmoborus lugubris
Ash-breasted Sierra Finch,absfin1,Geospizopsis plebejus
Ash-breasted Tit-Tyrant,abttyr1,Anairetes alpinus
Ash-browed Spinetail,asbspi1,Cranioleuca curtata
Ash-colored Tapaculo,asctap1,Myornis senilis
Ash-coloured Cuckoo,COCCIN,Coccycua cinerea
Ash-throated Antwren,astant1,Herpsilochmus parkeri
Ash-throated Crake,astcra1,Mustelirallus albicollis
Ash-throated Flycatcher,ATFL,Myiarchus cinerascens
Ash-throated Gnateater,astgna1,Conopophaga peruviana
Ash-winged Antwren,aswant1,Euchrepomis spodioptila
Ashy-bellied White-eye,asbwhe1,Zosterops citrinella
Ashy Bulbul,ashbul1,Hemixos flavala
Ashy Cisticola,CISCIN,Cisticola cinereolus
Ashy-crowned Sparrow-Lark,ascspl1,Eremopterix griseus
Ashy Drongo,ashdro1,Dicrurus leucophaeus
Ashy-faced Owl,AFOW,Tyto glaucops
Ashy Flycatcher,ashfly1,Fraseria caerulescens
Ashy-headed Goose,CHLPOL,Chloephaga poliocephala
Ashy-headed Greenlet,ashgre1,Hylophilus pectoralis
Ashy-headed Green-Pigeon,TREPHA,Treron phayrei
Ashy-headed Tyrannulet,ashtyr1,Tyranniscus cinereiceps
Ashy Minivet,ashmin1,Pericrocotus divaricatus
Ashy Prinia,ashpri1,Prinia socialis
Ashy Robin,gyhrob1,Heteromyias albispecularis
Ashy Starling,LAMUNI,Lamprotornis unicolor
Ashy Storm-Petrel,ASSP,Hydrobates homochroa
Ashy Tailorbird,ashtai1,Orthotomus ruficeps
Ashy-throated Chlorospingus,ATCH,Chlorospingus canigularis
