"","species_id","sci_name","common_name","species_code"
"153",3300,"Buteo platypterus","Broad-winged Hawk","BWHA"
"154",40302,"Buteo platypterus platypterus","Broad-winged Hawk (Northern)",NA
"155",19750,"Molothrus aeneus","Bronzed Cowbird","BROC"
"156",19760,"Molothrus ater","Brown-headed Cowbird","BHCO"
"157",2320,"Sula leucogaster","Brown Booby","BRBO"
"158",14450,"Certhia americana","Brown Creeper","BRCR"
"159",44487,"Certhia americana americana/nigrescens","Brown Creeper (americana/nigrescens)",NA
"160",2360,"Pelecanus occidentalis","Brown Pelican","BRPE"
"161",13200,"Lanius cristatus","Brown Shrike","BROS"
"162",31699,"Stercorarius antarcticus","Brown Skua",NA
"163",15970,"Toxostoma rufum","Brown Thrasher","BRTH"
"164",43337,"Bubo sp.","Bubo sp.",NA
"165",6460,"Melopsittacus undulatus","Budgerigar","BUDG"
"166",4870,"Calidris subruficollis","Buff-breasted Sandpiper","BBSA"
"167",820,"Bucephala albeola","Bufflehead","BUFF"
"168",2020,"Ardenna bulleri","Buller's Shearwater","BULS"
"169",19920,"Icterus bullockii","Bullock's Oriole","BUOR"
"170",7550,"Athene cunicularia","Burrowing Owl","BUOW"
"171",14400,"Psaltriparus minimus","Bushtit","BUSH"
"172",3410,"Buteo sp.","Buteo sp.","UNBU"
"173",40314,"Buteo/eagle sp.","Buteo/eagle sp.",NA
"174",220,"Branta hutchinsii","Cackling Goose","CACG"
"175",261,"Branta hutchinsii/canadensis","Cackling/Canada Goose",NA
"176",4845,"Calidris sp.","Calidris sp.",NA
"177",2870,"Gymnogyps californianus","California Condor","CACO"
"178",5160,"Larus californicus","California Gull","CAGU"
"179",1380,"Callipepla californica","California Quail","CAQU"
"180",40626,"Aphelocoma californica","California Scrub-Jay","CASJ"
"181",13820,"Aphelocoma californica/woodhouseii","California/Woodhouse's Scrub-Jay",NA
"182",9330,"Selasphorus calliope","Calliope Hummingbird","CAHU"
"183",230,"Branta canadensis","Canada Goose","CANG"
"184",13620,"Perisoreus canadensis","Canada Jay","CAJA"
"185",47787,"Perisoreus canadensis [canadensis Group]","Canada Jay (Boreal)",NA
"186",47789,"Perisoreus canadensis obscurus/griseus","Canada Jay (Pacific)",NA
"187",47788,"Perisoreus canadensis capitalis/bicolor","Canada Jay (Rocky Mts.)",NA
"188",17150,"Cardellina canadensis","Canada Warbler","CAWA"
"189",630,"Aythya valisineria","Canvasback","CANV"
"190",14570,"Catherpes mexicanus","Canyon Wren","CANW"
"191",16590,"Setophaga tigrina","Cape May Warbler","CMWA"
"192",41687,"Caprimulgus sp.","Caprimulgus sp.",NA
"193",14270,"Poecile carolinensis","Carolina Chickadee","CACH"
"194",14720,"Thryothorus ludovicianus","Carolina Wren","CARW"
"195",40687,"Thryothorus ludovicianus [ludovicianus Group]","Carolina Wren (Northern)",NA
"196",5500,"Hydroprogne caspia","Caspian Tern","CATE"
"197",5860,"Ptychoramphus aleuticus","Cassin's Auklet","CAAU"
"198",20340,"Haemorhous cassinii","Cassin's Finch","CAFI"
"199",12690,"Tyrannus vociferans","Cassin's Kingbird","CAKI"
"200",18670,"Peucaea cassinii","Cassin's Sparrow","CASP"
"201",13410,"Vireo cassinii","Cassin's Vireo","CAVI"
"202",42969,"Cathartes sp.","Cathartes sp.",NA
"203",40730,"Catharus sp.","Catharus sp.",NA
"204",2660,"Bubulcus ibis","Cattle Egret","CAEG"
"205",14240,"Petrochelidon fulva","Cave Swallow","CASW"
"206",16330,"Bombycilla cedrorum","Cedar Waxwing","CEDW"
"207",16830,"Setophaga cerulea","Cerulean Warbler","CERW"
"208",40495,"Chaetura sp.","Chaetura sp.",NA
"209",14310,"Poecile rufescens","Chestnut-backed Chickadee","CBCH"
"210",19160,"Calcarius ornatus","Chestnut-collared Longspur","CCLO"
"211",16570,"Setophaga pensylvanica","Chestnut-sided Warbler","CSWA"
